iter	candidate_id	agent	branch	commit	artifact	command	predicted	measured	control	delta_vs_champion	record	run_id	provenance	note
1	origin-p1	origin-runner	ooc-throughput	lib@66e15d4b91f105fd3ecd4db67a30c885a3a19879+bench@f85c37c6e8d386aa5890cb094b2a6e115afe402e	H1+whole-job-HEAD	cli_run_--block-rows_8192_--threads_16_--mode_direct_--sync-mode_deferred_--depth_2_--h2d_device_put_--k_32_--p_10_--q_2_--seed_0_--min-intensity_0_--steady-window-s_300	4243	4405.946807	-	-	N	35176504/sdfada015/a1746c8f	verified	SETUP; origin fresh process 1 of 3; span 300.046957; reconcile OK 4104x1GiB; compiles_in_window 0; gate PASS all four BINDING; --min-intensity 0 required (bench pre-flight floor 52 unreachable at L=42)
1	origin-p2	origin-runner	ooc-throughput	lib@66e15d4b91f105fd3ecd4db67a30c885a3a19879+bench@f85c37c6e8d386aa5890cb094b2a6e115afe402e	H1+whole-job-HEAD	cli_run_--block-rows_8192_--threads_16_--mode_direct_--sync-mode_deferred_--depth_2_--h2d_device_put_--k_32_--p_10_--q_2_--seed_0_--min-intensity_0_--steady-window-s_300	4243	4039.636815	-	-	N	35176504/sdfada015/a1746c8f	verified	SETUP; origin fresh process 2 of 3; span 300.063397; reconcile OK 3763x1GiB; compiles_in_window 0; gate PASS
1	origin-p3	origin-runner	ooc-throughput	lib@66e15d4b91f105fd3ecd4db67a30c885a3a19879+bench@f85c37c6e8d386aa5890cb094b2a6e115afe402e	H1+whole-job-HEAD	cli_run_--block-rows_8192_--threads_16_--mode_direct_--sync-mode_deferred_--depth_2_--h2d_device_put_--k_32_--p_10_--q_2_--seed_0_--min-intensity_0_--steady-window-s_300	4243	4069.478213	-	-	Y	35176504/sdfada015/a1746c8f	verified	SETUP; origin fresh process 3 of 3 and the MEDIAN of the three; CHAMPION = origin at STEADY5_GB 4069.478 (median); noise floor 9.00 pct = (4405.947-4039.637)/4069.478; span 300.079399; reconcile OK 3791x1GiB; compiles_in_window 0; gate PASS
1	proof-watchdog-skip	origin-runner	ooc-throughput	lib@66e15d4b91f105fd3ecd4db67a30c885a3a19879+bench@f85c37c6e8d386aa5890cb094b2a6e115afe402e	H1	SRSVD_WARMUP_SKIP=bbt,concat,tail,finishgemm,committed_+_--steady-window-s_60	-	4332.810500	-	-	N	35176504/sdfada015/a1746c8f	verified	diagnostic-ineligible; FAILED-proof-did-not-fire: the 4 deferred compiles (jit(step) 0.313s, jit(concatenate) 0.988s, jit(transpose), jit(matmul); 1.883s total) landed at the pass boundary block 1440, AFTER the 60s window closed at block 841, so compiles_in_window stayed 0 and exit stayed 0. Must be re-run at a window >= 150 s. compiles_in_wall of the job was 4.
1	proof-watchdog-clean	origin-runner	ooc-throughput	lib@66e15d4b91f105fd3ecd4db67a30c885a3a19879+bench@f85c37c6e8d386aa5890cb094b2a6e115afe402e	H1	--steady-window-s_60_no_env_var	-	4418.952352	-	-	N	35176504/sdfada015/a1746c8f	verified	diagnostic-ineligible; ACCEPT half of the pair: compiles_in_window 0 AND compiles_in_wall 0, exit 0, gate PASS
1	control-degraded-rank2	origin-runner	ooc-throughput	lib@66e15d4b91f105fd3ecd4db67a30c885a3a19879+bench@f85c37c6e8d386aa5890cb094b2a6e115afe402e	H1	--degraded-rank_2_--steady-window-s_60	-	FAILED	-	-	N	35176504/sdfada015/a1746c8f	verified	diagnostic-ineligible; FAILED-breakdown: next_sketch broke down at pass boundary 1/3 (Cholesky non-finite), exit 1, so NO gate values exist to print. The degraded control needs a rank that still factorises; superseded work queued for iteration 2
1	proof-restart	origin-runner	ooc-throughput	lib@66e15d4b91f105fd3ecd4db67a30c885a3a19879+bench@f85c37c6e8d386aa5890cb094b2a6e115afe402e	H1	--steady-force-restart-rows_1048576_--steady-window-s_60_--steady-max-jobs_60	-	3970.663469	-	-	N	35176504/sdfada015/a1746c8f	verified	diagnostic-ineligible reason=short-rows; IN-PROCESS RESTART PROVEN: jobs_completed 2 in-window (3 total), warmup_skipped True on jobs 2-3, compiles_in_window 0, no re-pin; job walls 30.83/30.99/30.88 s. ALSO the working GATE REJECTION: G1 7.0306e-01 FAIL BINDING, G2 7.0278e-01 FAIL BINDING, G3 5.6505e-03 pass BINDING, G4 5.78867 FAIL BINDING, exit 3
2	control-a	iter02-runner	ooc-throughput	lib@66e15d4b91f105fd3ecd4db67a30c885a3a19879+bench@f85c37c6e8d386aa5890cb094b2a6e115afe402e	flag-only	--block-rows_8192_--threads_16_--mode_direct_--sync-mode_deferred_--depth_2_--k_32_--p_10_--q_2_--seed_0_--min-intensity_0_--steady-window-s_300_--h2d_device_put	4069	4246.413631	4246.413631	0	N	35176504/sdfada015/a1746c8f	verified	same-iteration champion control, run BEFORE the candidates; span 300.016622; reconcile OK 3955x1GiB; compiles_in_window 0; gate PASS; util median 69 pct
2	c2a-readahead	iter02-runner	ooc-throughput	lib@66e15d4b91f105fd3ecd4db67a30c885a3a19879+bench@f85c37c6e8d386aa5890cb094b2a6e115afe402e	flag-only	--block-rows_8192_--threads_16_--mode_direct_--sync-mode_deferred_--depth_2_--k_32_--p_10_--q_2_--seed_0_--min-intensity_0_--steady-window-s_300_--h2d_device_put_--readahead	7400	5634.756780	4246.413631	+32.696pct	N	35176504/sdfada015/a1746c8f	verified	BEATS control by 32.7 pct (floor 9.0 pct) but BELOW my 6800-7700 band: read leaves the critical path (read bucket vanishes, read_wait 0.58 s) yet step_issue GROWS 198.9->237.9 s, so moving the pread to a producer thread slows the pageable transfer by 20 pct. Not champion: c2b beats it
2	c2b-register	iter02-runner	ooc-throughput	lib@66e15d4b91f105fd3ecd4db67a30c885a3a19879+bench@f85c37c6e8d386aa5890cb094b2a6e115afe402e	flag-only	--block-rows_8192_--threads_16_--mode_direct_--sync-mode_deferred_--depth_2_--k_32_--p_10_--q_2_--seed_0_--min-intensity_0_--steady-window-s_300_--h2d_register	7000-8010	6729.313430	4246.413631	+58.470pct	Y	35176504/sdfada015/a1746c8f	verified	NEW CHAMPION. 1.653x the origin median 4069.478. ASYNC branch of the two-branch prediction CONFIRMED: step_issue collapses 198.918->0.901 s, so the origin was paying a synchronous staging copy inside the jit dispatch. Wall 205.10 = read 130.68 + sync_wait 72.26; util median 100 pct; pool_pinned True, pin fee 2.430 s OUTSIDE the window (window opens +1.647 s after the loop anchor); span 300.135874; reconcile OK 6270x1GiB; compiles_in_window 0; gate PASS all four BINDING
